"July 11, 2017 at 12:51AM",Rain,60 F,16 C,"https://www.wunderground.com/cgi-bin/findweather/getForecast?query=-31.772,-52.342&par=ifttt&cm_ven=ifttt",http://ifttt.com/images/weather/heavy-rain.png
"July 11, 2017 at 06:51AM",Light Rain,58 F,14 C,"https://www.wunderground.com/cgi-bin/findweather/getForecast?query=-31.772,-52.342&par=ifttt&cm_ven=ifttt",http://ifttt.com/images/weather/drizzle.png
"July 11, 2017 at 02:51PM",Light Drizzle,63 F,17 C,"https://www.wunderground.com/cgi-bin/findweather/getForecast?query=-31.772,-52.342&par=ifttt&cm_ven=ifttt",http://ifttt.com/images/weather/drizzle.png
"July 12, 2017 at 02:51AM",Rain,57 F,14 C,"https://www.wunderground.com/cgi-bin/findweather/getForecast?query=-31.772,-52.342&par=ifttt&cm_ven=ifttt",http://ifttt.com/images/weather/heavy-rain.png
"July 16, 2017 at 01:58AM",Rain,67 F,19 C,"https://www.wunderground.com/cgi-bin/findweather/getForecast?query=-31.772,-52.342&par=ifttt&cm_ven=ifttt",http://ifttt.com/images/weather/heavy-rain.png
"July 16, 2017 at 06:43AM",Light Rain,58 F,14 C,"https://www.wunderground.com/cgi-bin/findweather/getForecast?query=-31.772,-52.342&par=ifttt&cm_ven=ifttt",http://ifttt.com/images/weather/drizzle.png
"August 01, 2017 at 11:11PM",Light Rain,59 F,15 C,"https://www.wunderground.com/cgi-bin/findweather/getForecast?query=-31.772,-52.342&par=ifttt&cm_ven=ifttt",http://ifttt.com/images/weather/drizzle.png
"August 02, 2017 at 08:16AM",Light Rain,60 F,16 C,"https://www.wunderground.com/cgi-bin/findweather/getForecast?query=-31.772,-52.342&par=ifttt&cm_ven=ifttt",http://ifttt.com/images/weather/drizzle.png
"August 03, 2017 at 12:16AM",Rain,55 F,13 C,"https://www.wunderground.com/cgi-bin/findweather/getForecast?query=-31.772,-52.342&par=ifttt&cm_ven=ifttt",http://ifttt.com/images/weather/heavy-rain.png
"August 08, 2017 at 12:28AM",Rain Shower,57 F,14 C,"https://www.wunderground.com/cgi-bin/findweather/getForecast?query=-31.772,-52.342&par=ifttt&cm_ven=ifttt",http://ifttt.com/images/weather/drizzle.png
"August 08, 2017 at 04:08AM",Rain,56 F,13 C,"https://www.wunderground.com/cgi-bin/findweather/getForecast?query=-31.772,-52.342&par=ifttt&cm_ven=ifttt",http://ifttt.com/images/weather/heavy-rain.png
"August 11, 2017 at 06:12AM",Rain Shower/Wind,61 F,16 C,"https://www.wunderground.com/cgi-bin/findweather/getForecast?query=-31.772,-52.342&par=ifttt&cm_ven=ifttt",http://ifttt.com/images/weather/drizzle.png
"August 11, 2017 at 02:42PM",Light Rain,64 F,18 C,"https://www.wunderground.com/cgi-bin/findweather/getForecast?query=-31.772,-52.342&par=ifttt&cm_ven=ifttt",http://ifttt.com/images/weather/drizzle.png
"August 11, 2017 at 08:45PM",Rain Shower/Wind,62 F,17 C,"https://www.wunderground.com/cgi-bin/findweather/getForecast?query=-31.772,-52.342&par=ifttt&cm_ven=ifttt",http://ifttt.com/images/weather/drizzle.png
"August 12, 2017 at 02:32AM",Light Rain/Wind,59 F,15 C,"https://www.wunderground.com/cgi-bin/findweather/getForecast?query=-31.772,-52.342&par=ifttt&cm_ven=ifttt",http://ifttt.com/images/weather/drizzle.png
"August 13, 2017 at 01:42AM",Rain,61 F,16 C,"https://www.wunderground.com/cgi-bin/findweather/getForecast?query=-31.772,-52.342&par=ifttt&cm_ven=ifttt",http://ifttt.com/images/weather/heavy-rain.png
"August 13, 2017 at 10:42AM",Light Rain,63 F,17 C,"https://www.wunderground.com/cgi-bin/findweather/getForecast?query=-31.772,-52.342&par=ifttt&cm_ven=ifttt",http://ifttt.com/images/weather/drizzle.png
"August 24, 2017 at 03:12AM",Rain,61 F,16 C,"https://www.wunderground.com/cgi-bin/findweather/getForecast?query=-31.772,-52.342&par=ifttt&cm_ven=ifttt",http://ifttt.com/images/weather/heavy-rain.png
"August 27, 2017 at 07:20AM",Rain,63 F,17 C,"https://www.wunderground.com/cgi-bin/findweather/getForecast?query=-31.772,-52.342&par=ifttt&cm_ven=ifttt",http://ifttt.com/images/weather/heavy-rain.png
"August 30, 2017 at 01:22AM",Rain,71 F,22 C,"https://www.wunderground.com/cgi-bin/findweather/getForecast?query=-31.772,-52.342&par=ifttt&cm_ven=ifttt",http://ifttt.com/images/weather/heavy-rain.png
"August 30, 2017 at 03:37AM",Light Rain,62 F,17 C,"https://www.wunderground.com/cgi-bin/findweather/getForecast?query=-31.772,-52.342&par=ifttt&cm_ven=ifttt",http://ifttt.com/images/weather/drizzle.png
"September 05, 2017 at 12:22AM",Rain Shower,61 F,16 C,"https://www.wunderground.com/cgi-bin/findweather/getForecast?query=-31.772,-52.342&par=ifttt&cm_ven=ifttt",http://ifttt.com/images/weather/drizzle.png
"September 05, 2017 at 01:52AM",Light Rain,59 F,15 C,"https://www.wunderground.com/cgi-bin/findweather/getForecast?query=-31.772,-52.342&par=ifttt&cm_ven=ifttt",http://ifttt.com/images/weather/drizzle.png
"September 05, 2017 at 04:07AM",Rain,59 F,15 C,"https://www.wunderground.com/cgi-bin/findweather/getForecast?query=-31.772,-52.342&par=ifttt&cm_ven=ifttt",http://ifttt.com/images/weather/heavy-rain.png
"September 06, 2017 at 09:32PM",Rain,62 F,17 C,"https://www.wunderground.com/cgi-bin/findweather/getForecast?query=-31.772,-52.342&par=ifttt&cm_ven=ifttt",http://ifttt.com/images/weather/heavy-rain.png
"September 07, 2017 at 10:06AM",Light Drizzle,70 F,21 C,"https://www.wunderground.com/cgi-bin/findweather/getForecast?query=-31.772,-52.342&par=ifttt&cm_ven=ifttt",http://ifttt.com/images/weather/drizzle.png
"September 12, 2017 at 06:29PM",Thunder,61 F,16 C,"https://www.wunderground.com/cgi-bin/findweather/getForecast?query=-31.772,-52.342&par=ifttt&cm_ven=ifttt",http://ifttt.com/images/weather/heavy-rain.png
"September 12, 2017 at 11:39PM",Rain,57 F,14 C,"https://www.wunderground.com/cgi-bin/findweather/getForecast?query=-31.772,-52.342&par=ifttt&cm_ven=ifttt",http://ifttt.com/images/weather/heavy-rain.png
"September 13, 2017 at 04:58PM",Light Rain,69 F,21 C,"https://www.wunderground.com/cgi-bin/findweather/getForecast?query=-31.772,-52.342&par=ifttt&cm_ven=ifttt",http://ifttt.com/images/weather/drizzle.png
"September 14, 2017 at 12:13AM",Rain,63 F,17 C,"https://www.wunderground.com/cgi-bin/findweather/getForecast?query=-31.772,-52.342&par=ifttt&cm_ven=ifttt",http://ifttt.com/images/weather/heavy-rain.png
"September 14, 2017 at 08:58AM",Light Rain,64 F,18 C,"https://www.wunderground.com/cgi-bin/findweather/getForecast?query=-31.772,-52.342&par=ifttt&cm_ven=ifttt",http://ifttt.com/images/weather/drizzle.png
"September 16, 2017 at 04:13AM",Light Rain,59 F,15 C,"https://www.wunderground.com/cgi-bin/findweather/getForecast?query=-31.772,-52.342&par=ifttt&cm_ven=ifttt",http://ifttt.com/images/weather/drizzle.png
